date,open,high,low,close,volume
2024-04-12 09:15:00+05:30,700.0,700.0,700.0,700.0,0
2024-04-12 09:40:00+05:30,755.0,755.0,755.0,755.0,13189595
2024-04-12 09:45:00+05:30,755.0,755.0,755.0,755.0,0
2024-04-12 09:50:00+05:30,755.0,755.0,755.0,755.0,0
2024-04-12 09:55:00+05:30,755.0,755.0,755.0,755.0,0
2024-04-12 10:00:00+05:30,762.5,784.75,755.35,783.3,10176621
2024-04-12 10:05:00+05:30,783.25,803.9,783.25,792.0,5252096
2024-04-12 10:10:00+05:30,789.35,823.0,789.35,808.85,2928334
2024-04-12 10:15:00+05:30,808.85,824.9,793.75,798.35,1928031
2024-04-12 10:20:00+05:30,798.35,814.5,797.55,811.7,900172
2024-04-12 10:25:00+05:30,811.95,819.2,807.4,817.65,635656
2024-04-12 10:30:00+05:30,817.5,821.55,800.0,801.3,857237
2024-04-12 10:35:00+05:30,801.5,802.4,800.0,800.0,672527
2024-04-12 10:40:00+05:30,800.0,808.0,800.0,800.55,311137
2024-04-12 10:45:00+05:30,800.65,801.35,800.1,800.6,246809
2024-04-12 10:50:00+05:30,800.6,806.3,800.35,805.2,266713
2024-04-12 10:55:00+05:30,805.2,807.75,805.0,806.7,185030
2024-04-12 11:00:00+05:30,806.9,807.0,804.9,805.8,256750
2024-04-12 11:05:00+05:30,806.0,813.0,805.8,812.0,253736
2024-04-12 11:10:00+05:30,812.35,828.8,811.05,828.35,865913
2024-04-12 11:15:00+05:30,828.35,848.0,826.1,839.7,1480153
2024-04-12 11:20:00+05:30,839.7,844.0,830.05,837.15,463394
2024-04-12 11:25:00+05:30,837.3,840.0,835.0,835.55,183558
2024-04-12 11:30:00+05:30,835.6,852.7,835.0,850.6,642064
2024-04-12 11:35:00+05:30,851.0,860.0,850.0,857.6,456857
2024-04-12 11:40:00+05:30,857.95,871.4,856.05,867.35,660201
2024-04-12 11:45:00+05:30,867.35,880.0,858.0,858.9,946986
2024-04-12 11:50:00+05:30,858.85,859.5,846.3,846.5,410691
2024-04-12 11:55:00+05:30,846.5,847.9,820.05,829.25,977946
2024-04-12 12:00:00+05:30,829.0,835.3,820.7,828.05,278245
2024-04-12 12:05:00+05:30,828.45,836.35,826.75,827.7,203698
2024-04-12 12:10:00+05:30,828.8,832.1,823.0,832.1,244211
2024-04-12 12:15:00+05:30,832.05,838.0,825.0,826.6,191217
2024-04-12 12:20:00+05:30,826.6,831.8,825.2,831.1,123777
2024-04-12 12:25:00+05:30,831.1,831.95,826.1,827.55,86598
2024-04-12 12:30:00+05:30,827.55,827.55,816.2,822.0,249663
2024-04-12 12:35:00+05:30,821.25,821.8,812.1,820.0,326918
2024-04-12 12:40:00+05:30,820.15,826.0,820.05,821.8,228419
2024-04-12 12:45:00+05:30,822.0,830.7,820.55,830.7,121857
2024-04-12 12:50:00+05:30,830.7,832.0,820.8,822.9,109729
2024-04-12 12:55:00+05:30,823.05,823.95,813.25,814.7,131291
2024-04-12 13:00:00+05:30,814.7,816.85,811.1,816.35,105005
2024-04-12 13:05:00+05:30,816.0,816.4,806.45,808.0,214716
2024-04-12 13:10:00+05:30,808.55,814.0,807.25,810.1,219946
2024-04-12 13:15:00+05:30,810.05,813.65,807.05,810.1,89716
2024-04-12 13:20:00+05:30,810.05,816.8,810.0,814.1,100789
2024-04-12 13:25:00+05:30,814.1,814.4,807.3,810.5,78887
2024-04-12 13:30:00+05:30,810.55,815.45,810.15,810.4,61918
2024-04-12 13:35:00+05:30,810.4,810.55,808.0,809.25,88634
2024-04-12 13:40:00+05:30,809.25,809.75,807.35,809.2,97796
2024-04-12 13:45:00+05:30,809.15,811.0,808.5,810.65,96096
2024-04-12 13:50:00+05:30,810.55,816.9,809.25,813.35,119820
2024-04-12 13:55:00+05:30,813.25,817.5,813.0,813.2,148062
2024-04-12 14:00:00+05:30,813.1,815.35,810.0,810.25,84948
2024-04-12 14:05:00+05:30,810.2,812.55,809.95,810.15,108123
2024-04-12 14:10:00+05:30,810.1,810.3,810.0,810.05,63109
2024-04-12 14:15:00+05:30,810.05,811.65,809.05,810.0,153759
2024-04-12 14:20:00+05:30,810.0,810.5,810.0,810.0,55702
2024-04-12 14:25:00+05:30,810.0,812.7,809.9,810.0,96649
2024-04-12 14:30:00+05:30,810.0,810.1,810.0,810.0,53633
2024-04-12 14:35:00+05:30,810.0,812.75,796.85,810.35,417338
2024-04-12 14:40:00+05:30,810.15,821.55,810.0,813.05,277982
2024-04-12 14:45:00+05:30,813.0,815.75,810.65,810.7,72581
2024-04-12 14:50:00+05:30,810.65,811.9,803.0,809.5,325106
2024-04-12 14:55:00+05:30,809.6,814.0,808.75,810.95,113228
2024-04-12 15:00:00+05:30,810.95,811.4,810.0,810.45,96284
2024-04-12 15:05:00+05:30,810.5,811.0,810.0,810.3,107342
2024-04-12 15:10:00+05:30,810.3,812.0,810.05,811.3,156371
2024-04-12 15:15:00+05:30,811.3,816.85,810.9,812.2,290489
2024-04-12 15:20:00+05:30,812.15,814.25,812.0,814.25,324835
2024-04-12 15:25:00+05:30,814.25,816.6,814.0,814.0,519910
2024-04-15 09:15:00+05:30,785.5,803.65,783.0,788.35,646102
2024-04-15 09:20:00+05:30,788.25,812.0,788.25,808.7,678969
2024-04-15 09:25:00+05:30,808.7,815.0,806.95,809.45,329577
2024-04-15 09:30:00+05:30,809.8,818.15,806.05,818.15,208291
2024-04-15 09:35:00+05:30,817.65,818.65,804.6,807.5,201862
2024-04-15 09:40:00+05:30,807.5,808.0,804.0,807.8,68120
2024-04-15 09:45:00+05:30,807.8,820.0,807.0,808.5,249964
2024-04-15 09:50:00+05:30,809.05,810.0,807.1,809.3,38916
2024-04-15 09:55:00+05:30,810.0,810.0,804.65,806.5,74408
2024-04-15 10:00:00+05:30,806.85,807.7,806.05,807.0,31340
2024-04-15 10:05:00+05:30,807.1,814.1,807.0,812.4,54514
2024-04-15 10:10:00+05:30,812.45,816.0,808.45,808.45,68534
2024-04-15 10:15:00+05:30,808.55,812.5,808.45,809.15,27524
2024-04-15 10:20:00+05:30,809.15,810.0,807.0,808.3,33212
2024-04-15 10:25:00+05:30,808.55,809.55,807.2,807.7,20329
2024-04-15 10:30:00+05:30,807.7,808.5,806.0,807.3,33008
2024-04-15 10:35:00+05:30,807.45,809.55,806.95,808.25,50445
2024-04-15 10:40:00+05:30,808.2,808.45,806.5,807.5,12762
2024-04-15 10:45:00+05:30,807.5,808.4,807.05,807.75,16583
2024-04-15 10:50:00+05:30,807.75,808.0,807.05,807.65,19846
2024-04-15 10:55:00+05:30,807.65,810.4,807.05,808.1,54295
2024-04-15 11:00:00+05:30,808.1,808.45,807.05,807.7,18131
2024-04-15 11:05:00+05:30,807.4,810.2,806.35,808.7,55156
2024-04-15 11:10:00+05:30,808.0,808.0,806.3,807.05,11948
2024-04-15 11:15:00+05:30,807.0,807.7,805.5,805.85,25516
2024-04-15 11:20:00+05:30,805.4,808.0,802.6,806.7,71102
2024-04-15 11:25:00+05:30,806.7,814.4,804.0,812.25,111352
2024-04-15 11:30:00+05:30,812.0,813.0,809.25,810.0,23099
