date,open,high,low,close,volume
2023-08-18 09:15:00+05:30,725.0,725.0,725.0,725.0,0
2023-08-18 09:40:00+05:30,900.05,900.05,900.05,900.05,3541813
2023-08-18 09:45:00+05:30,900.05,900.05,900.05,900.05,0
2023-08-18 09:50:00+05:30,900.05,900.05,900.05,900.05,0
2023-08-18 09:55:00+05:30,900.05,900.05,900.05,900.05,0
2023-08-18 10:00:00+05:30,909.95,916.9,901.0,904.5,4579599
2023-08-18 10:05:00+05:30,904.5,910.0,901.6,905.25,1395827
2023-08-18 10:10:00+05:30,905.25,908.2,904.25,905.15,508959
2023-08-18 10:15:00+05:30,905.1,918.7,903.05,916.85,977477
2023-08-18 10:20:00+05:30,916.4,923.0,910.1,910.15,793501
2023-08-18 10:25:00+05:30,910.1,912.5,910.1,910.25,288352
2023-08-18 10:30:00+05:30,910.25,911.55,905.75,910.75,324087
2023-08-18 10:35:00+05:30,910.75,916.6,910.75,915.0,151846
2023-08-18 10:40:00+05:30,915.0,925.9,915.0,920.45,499184
2023-08-18 10:45:00+05:30,920.1,922.85,920.0,922.6,149524
2023-08-18 10:50:00+05:30,922.5,930.0,921.5,929.2,442184
2023-08-18 10:55:00+05:30,929.05,936.9,928.45,936.6,372832
2023-08-18 11:00:00+05:30,936.55,944.0,936.55,941.0,521999
2023-08-18 11:05:00+05:30,940.55,955.8,940.0,951.45,600664
2023-08-18 11:10:00+05:30,951.5,974.7,947.95,971.95,785046
2023-08-18 11:15:00+05:30,971.55,987.7,970.0,986.0,924420
2023-08-18 11:20:00+05:30,985.7,986.0,951.25,953.0,632929
2023-08-18 11:25:00+05:30,952.0,956.1,928.05,938.7,852362
2023-08-18 11:30:00+05:30,938.7,941.95,927.15,932.2,334135
2023-08-18 11:35:00+05:30,932.2,937.65,930.0,933.9,123189
2023-08-18 11:40:00+05:30,934.0,934.4,929.15,932.05,192751
2023-08-18 11:45:00+05:30,932.0,939.0,929.0,937.75,247324
2023-08-18 11:50:00+05:30,937.9,943.0,936.15,936.85,160679
2023-08-18 11:55:00+05:30,936.2,939.8,935.1,936.8,47944
2023-08-18 12:00:00+05:30,936.75,938.95,935.15,936.1,33616
2023-08-18 12:05:00+05:30,936.25,936.7,931.9,935.1,53120
2023-08-18 12:10:00+05:30,935.0,938.0,935.0,936.85,34942
2023-08-18 12:15:00+05:30,937.0,937.7,933.85,936.35,33691
2023-08-18 12:20:00+05:30,936.15,936.85,931.25,932.0,45707
2023-08-18 12:25:00+05:30,932.0,932.95,929.05,932.95,101352
2023-08-18 12:30:00+05:30,932.9,940.4,932.5,936.65,54563
2023-08-18 12:35:00+05:30,936.65,936.95,934.25,935.0,17319
2023-08-18 12:40:00+05:30,935.0,935.0,931.1,932.75,40310
2023-08-18 12:45:00+05:30,932.75,933.85,931.1,932.3,19152
2023-08-18 12:50:00+05:30,932.8,936.5,932.3,936.5,21035
2023-08-18 12:55:00+05:30,936.1,936.9,934.85,935.6,19175
2023-08-18 13:00:00+05:30,935.5,939.9,935.15,936.95,44511
2023-08-18 13:05:00+05:30,937.0,942.75,936.1,942.4,61405
2023-08-18 13:10:00+05:30,942.8,947.6,940.3,943.6,111504
2023-08-18 13:15:00+05:30,943.6,943.8,936.95,937.35,49597
2023-08-18 13:20:00+05:30,937.35,940.35,937.05,938.8,32194
2023-08-18 13:25:00+05:30,938.8,939.45,937.0,938.9,17753
2023-08-18 13:30:00+05:30,938.25,940.0,937.95,939.0,21747
2023-08-18 13:35:00+05:30,939.0,939.9,938.15,939.0,15877
2023-08-18 13:40:00+05:30,939.0,945.8,938.15,943.85,70302
2023-08-18 13:45:00+05:30,943.75,949.8,943.6,948.9,99328
2023-08-18 13:50:00+05:30,948.35,948.95,944.95,946.85,41744
2023-08-18 13:55:00+05:30,946.4,946.85,942.55,942.7,33055
