date,open,high,low,close,volume
2024-05-13 09:15:00+05:30,460.0,460.0,460.0,460.0,0
2024-05-13 09:40:00+05:30,655.0,655.0,655.0,655.0,2903556
2024-05-13 09:45:00+05:30,655.0,655.0,655.0,655.0,0
2024-05-13 09:50:00+05:30,655.0,655.0,655.0,655.0,0
2024-05-13 09:55:00+05:30,655.0,655.0,655.0,655.0,0
2024-05-13 10:00:00+05:30,655.0,660.0,575.0,596.2,6868257
2024-05-13 10:05:00+05:30,596.3,596.8,576.3,576.4,1448562
2024-05-13 10:10:00+05:30,577.05,582.9,558.0,568.05,1914902
2024-05-13 10:15:00+05:30,568.0,576.65,562.5,572.55,957610
2024-05-13 10:20:00+05:30,572.35,574.0,563.25,567.15,501345
2024-05-13 10:25:00+05:30,567.15,567.7,557.2,564.45,792992
2024-05-13 10:30:00+05:30,564.7,566.8,553.25,554.2,567822
2024-05-13 10:35:00+05:30,554.1,558.7,551.35,551.9,558322
2024-05-13 10:40:00+05:30,551.35,552.1,527.1,533.5,2452573
2024-05-13 10:45:00+05:30,533.55,543.05,532.05,542.65,574386
2024-05-13 10:50:00+05:30,542.2,547.9,540.5,546.0,436019
2024-05-13 10:55:00+05:30,546.5,559.8,546.05,559.5,750126
2024-05-13 11:00:00+05:30,559.4,570.0,557.05,566.2,939518
2024-05-13 11:05:00+05:30,567.0,568.8,561.7,565.05,394559
2024-05-13 11:10:00+05:30,565.55,573.9,565.55,572.5,547823
2024-05-13 11:15:00+05:30,572.5,572.95,565.3,571.0,244015
2024-05-13 11:20:00+05:30,571.0,577.55,570.7,576.35,506856
2024-05-13 11:25:00+05:30,576.35,582.0,575.2,580.0,601588
2024-05-13 11:30:00+05:30,579.75,580.0,575.55,577.8,170142
2024-05-13 11:35:00+05:30,577.8,579.5,576.0,579.5,93754
2024-05-13 11:40:00+05:30,579.25,583.9,577.1,583.8,305919
2024-05-13 11:45:00+05:30,583.55,583.8,575.3,576.6,227132
2024-05-13 11:50:00+05:30,576.6,584.9,575.3,584.25,333072
2024-05-13 11:55:00+05:30,584.95,586.0,581.55,582.85,266705
2024-05-13 12:00:00+05:30,582.9,590.65,580.7,590.1,350096
2024-05-13 12:05:00+05:30,590.1,597.65,590.0,596.15,687330
2024-05-13 12:10:00+05:30,596.15,604.0,594.2,602.7,1175809
2024-05-13 12:15:00+05:30,602.7,609.4,596.9,607.35,791010
2024-05-13 12:20:00+05:30,607.55,608.0,591.2,593.05,474291
2024-05-13 12:25:00+05:30,593.05,598.85,586.25,589.0,327397
2024-05-13 12:30:00+05:30,589.0,589.0,570.5,579.1,537269
2024-05-13 12:35:00+05:30,579.65,585.95,579.25,582.0,178247
2024-05-13 12:40:00+05:30,582.0,588.7,582.0,585.35,123668
2024-05-13 12:45:00+05:30,585.5,592.25,585.0,587.65,143619
2024-05-13 12:50:00+05:30,587.75,590.7,586.3,587.8,68857
2024-05-13 12:55:00+05:30,587.8,596.4,587.8,596.1,137917
2024-05-13 13:00:00+05:30,596.1,598.8,593.6,598.1,172063
2024-05-13 13:05:00+05:30,598.25,598.8,591.8,595.6,117276
2024-05-13 13:10:00+05:30,595.6,597.95,594.0,594.85,76496
2024-05-13 13:15:00+05:30,594.85,596.5,588.05,593.9,92369
2024-05-13 13:20:00+05:30,593.7,597.0,592.3,592.45,132186
