date,open,high,low,close,volume
2022-11-22 09:15:00+05:30,570.0,570.0,570.0,570.0,0
2022-11-22 09:40:00+05:30,778.0,778.0,778.0,778.0,268
2022-11-22 09:45:00+05:30,778.0,778.0,778.0,778.0,0
2022-11-22 09:50:00+05:30,778.0,778.0,778.0,778.0,0
2022-11-22 09:55:00+05:30,778.0,778.0,778.0,778.0,0
2022-11-22 10:00:00+05:30,779.1,785.75,726.15,730.0,3292693
2022-11-22 10:05:00+05:30,730.6,734.35,713.3,730.8,1491854
2022-11-22 10:10:00+05:30,730.0,731.8,716.0,716.25,488767
2022-11-22 10:15:00+05:30,716.25,722.35,697.2,701.2,741513
2022-11-22 10:20:00+05:30,701.5,710.8,691.55,693.5,486035
2022-11-22 10:25:00+05:30,693.95,695.0,675.15,678.4,651196
2022-11-22 10:30:00+05:30,679.1,693.7,677.05,692.9,439193
2022-11-22 10:35:00+05:30,692.35,699.35,687.35,699.0,365193
2022-11-22 10:40:00+05:30,699.15,699.3,690.1,690.1,135793
2022-11-22 10:45:00+05:30,689.8,689.85,683.1,683.5,149106
2022-11-22 10:50:00+05:30,683.5,701.3,681.6,701.15,280125
2022-11-22 10:55:00+05:30,700.45,711.0,700.0,707.95,422365
2022-11-22 11:00:00+05:30,708.55,712.0,706.0,708.0,146529
2022-11-22 11:05:00+05:30,708.0,708.4,701.15,705.2,89323
2022-11-22 11:10:00+05:30,705.2,711.7,705.2,709.9,111750
2022-11-22 11:15:00+05:30,709.9,713.8,707.35,712.7,106266
2022-11-22 11:20:00+05:30,712.7,714.4,710.0,713.0,87063
2022-11-22 11:25:00+05:30,712.9,717.8,712.5,716.3,108905
2022-11-22 11:30:00+05:30,716.0,721.8,715.6,720.0,206076
2022-11-22 11:35:00+05:30,720.0,723.6,720.0,722.0,142472
2022-11-22 11:40:00+05:30,722.0,724.0,722.0,722.0,115645
2022-11-22 11:45:00+05:30,722.2,722.5,705.35,706.5,238898
2022-11-22 11:50:00+05:30,706.9,711.55,705.85,707.35,81732
2022-11-22 11:55:00+05:30,707.4,711.35,706.85,708.5,50877
2022-11-22 12:00:00+05:30,708.5,711.8,708.0,708.55,27151
2022-11-22 12:05:00+05:30,708.65,710.85,708.2,709.3,21886
2022-11-22 12:10:00+05:30,709.3,709.85,708.0,708.4,21342
2022-11-22 12:15:00+05:30,708.2,708.45,696.5,698.95,162446
2022-11-22 12:20:00+05:30,698.95,699.05,695.2,697.65,74844
2022-11-22 12:25:00+05:30,697.3,700.0,697.3,699.9,50112
2022-11-22 12:30:00+05:30,699.9,699.9,697.4,698.0,24579
2022-11-22 12:35:00+05:30,698.0,698.0,688.65,692.15,123987
2022-11-22 12:40:00+05:30,692.7,698.35,692.45,697.4,50356
2022-11-22 12:45:00+05:30,697.3,699.5,697.0,697.8,32924
2022-11-22 12:50:00+05:30,697.8,703.95,696.5,702.4,47125
2022-11-22 12:55:00+05:30,702.25,707.0,702.2,704.6,84728
2022-11-22 13:00:00+05:30,703.4,705.25,701.5,704.15,34993
2022-11-22 13:05:00+05:30,704.15,708.4,704.15,707.3,48766
2022-11-22 13:10:00+05:30,707.1,707.55,702.8,703.55,29391
2022-11-22 13:15:00+05:30,703.55,707.0,702.95,706.95,26489
2022-11-22 13:20:00+05:30,706.8,708.0,705.4,706.4,27083
2022-11-22 13:25:00+05:30,706.4,708.7,706.4,708.0,30490
2022-11-22 13:30:00+05:30,707.6,708.0,703.3,706.9,29660
2022-11-22 13:35:00+05:30,706.95,709.0,706.0,707.9,31699
2022-11-22 13:40:00+05:30,707.9,708.5,706.4,707.5,20927
2022-11-22 13:45:00+05:30,707.5,707.5,705.05,706.85,15849
2022-11-22 13:50:00+05:30,707.0,707.0,704.3,706.0,19723
2022-11-22 13:55:00+05:30,706.0,707.65,705.55,707.0,22351
2022-11-22 14:00:00+05:30,707.05,708.5,706.5,707.4,30738
2022-11-22 14:05:00+05:30,707.4,711.0,706.7,708.6,71010
2022-11-22 14:10:00+05:30,708.6,709.7,704.5,706.0,31711
2022-11-22 14:15:00+05:30,705.6,706.0,699.9,702.5,61942
2022-11-22 14:20:00+05:30,702.5,705.5,701.5,704.9,40188
2022-11-22 14:25:00+05:30,704.85,706.4,704.0,704.1,23844
