date,open,high,low,close,volume
2024-11-14 09:15:00+05:30,74.0,74.0,74.0,74.0,0
2024-11-14 09:35:00+05:30,78.14,78.14,78.14,78.14,0
2024-11-14 09:40:00+05:30,78.14,78.14,78.14,78.14,0
2024-11-14 09:45:00+05:30,78.14,78.14,78.14,78.14,0
2024-11-14 09:50:00+05:30,78.14,78.14,78.14,78.14,0
2024-11-14 09:55:00+05:30,78.14,78.14,78.14,78.14,0
2024-11-14 10:00:00+05:30,78.37,81.0,76.0,76.95,11266269
2024-11-14 10:05:00+05:30,76.91,77.43,75.27,75.5,2754793
2024-11-14 10:10:00+05:30,75.43,76.25,75.11,76.14,2278313
2024-11-14 10:15:00+05:30,76.2,76.56,76.0,76.09,927897
2024-11-14 10:20:00+05:30,76.09,77.25,76.0,77.21,1475817
2024-11-14 10:25:00+05:30,77.25,77.44,76.73,76.85,983412
2024-11-14 10:30:00+05:30,76.85,76.85,76.31,76.58,510105
2024-11-14 10:35:00+05:30,76.54,76.63,76.0,76.1,517455
2024-11-14 10:40:00+05:30,76.1,76.1,75.26,75.79,692736
2024-11-14 10:45:00+05:30,75.75,76.29,75.5,76.27,640022
2024-11-14 10:50:00+05:30,76.26,76.28,75.75,75.75,383941
2024-11-14 10:55:00+05:30,75.82,75.83,75.4,75.5,293390
2024-11-14 11:00:00+05:30,75.45,75.68,75.35,75.5,233627
2024-11-14 11:05:00+05:30,75.5,75.58,74.46,74.79,1178872
2024-11-14 11:10:00+05:30,74.71,74.8,74.0,74.41,1304094
2024-11-14 11:15:00+05:30,74.34,74.41,73.51,74.13,1248171
2024-11-14 11:20:00+05:30,74.16,74.36,74.0,74.34,356093
2024-11-14 11:25:00+05:30,74.3,76.09,74.3,75.01,1496061
2024-11-14 11:30:00+05:30,75.01,75.3,74.5,74.8,296613
2024-11-14 11:35:00+05:30,74.83,74.88,74.5,74.57,191924
2024-11-14 11:40:00+05:30,74.6,74.75,74.5,74.68,204937
2024-11-14 11:45:00+05:30,74.71,75.1,74.68,75.05,163192
2024-11-14 11:50:00+05:30,75.05,75.43,75.0,75.26,142639
2024-11-14 11:55:00+05:30,75.21,76.0,75.21,75.98,243815
2024-11-14 12:00:00+05:30,76.0,76.45,75.35,75.61,532148
2024-11-14 12:05:00+05:30,75.61,75.69,75.42,75.61,90950
2024-11-14 12:10:00+05:30,75.65,75.68,75.52,75.6,68762
2024-11-14 12:15:00+05:30,75.55,75.6,75.06,75.11,201730
2024-11-14 12:20:00+05:30,75.11,75.68,75.11,75.45,130376
2024-11-14 12:25:00+05:30,75.45,75.52,75.31,75.4,67900
2024-11-14 12:30:00+05:30,75.4,75.45,75.22,75.4,82870
2024-11-14 12:35:00+05:30,75.45,75.45,75.11,75.17,101032
2024-11-14 12:40:00+05:30,75.12,75.4,75.11,75.39,82341
2024-11-14 12:45:00+05:30,75.39,75.56,75.35,75.35,82158
2024-11-14 12:50:00+05:30,75.35,75.56,75.15,75.51,92573
2024-11-14 12:55:00+05:30,75.56,75.67,75.5,75.65,76483
2024-11-14 13:00:00+05:30,75.65,75.98,75.5,75.51,217177
2024-11-14 13:05:00+05:30,75.5,75.65,75.5,75.59,71299
2024-11-14 13:10:00+05:30,75.59,75.65,75.5,75.5,75654
2024-11-14 13:15:00+05:30,75.5,75.54,75.25,75.35,100756
2024-11-14 13:20:00+05:30,75.35,75.48,75.21,75.24,83905
2024-11-14 13:25:00+05:30,75.24,75.34,75.11,75.25,95689
2024-11-14 13:30:00+05:30,75.25,75.3,75.23,75.27,71524
2024-11-14 13:35:00+05:30,75.27,75.5,75.19,75.38,89353
2024-11-14 13:40:00+05:30,75.38,75.41,75.31,75.37,43348
2024-11-14 13:45:00+05:30,75.37,75.39,75.25,75.25,64672
2024-11-14 13:50:00+05:30,75.25,75.38,75.15,75.38,102663
2024-11-14 13:55:00+05:30,75.38,75.6,75.15,75.26,195688
2024-11-14 14:00:00+05:30,75.26,75.38,75.17,75.28,388876
2024-11-14 14:05:00+05:30,75.28,75.33,75.17,75.17,52952
2024-11-14 14:10:00+05:30,75.17,75.3,74.88,74.88,195685
2024-11-14 14:15:00+05:30,74.89,74.89,74.26,74.68,248094
2024-11-14 14:20:00+05:30,74.7,74.7,74.41,74.53,201885
2024-11-14 14:25:00+05:30,74.53,74.53,74.0,74.12,385012
2024-11-14 14:30:00+05:30,74.17,74.5,74.12,74.48,140440
2024-11-14 14:35:00+05:30,74.38,74.55,74.25,74.36,85254
2024-11-14 14:40:00+05:30,74.29,74.37,74.11,74.11,99020
2024-11-14 14:45:00+05:30,74.11,74.23,74.0,74.03,250638
2024-11-14 14:50:00+05:30,74.03,74.5,74.03,74.13,117261
2024-11-14 14:55:00+05:30,74.13,74.29,74.0,74.25,234231
2024-11-14 15:00:00+05:30,74.26,74.26,74.0,74.1,161987
2024-11-14 15:05:00+05:30,74.1,74.17,74.01,74.03,142559
2024-11-14 15:10:00+05:30,74.03,74.1,74.0,74.02,200230
2024-11-14 15:15:00+05:30,74.01,74.19,73.91,74.06,676405
2024-11-14 15:20:00+05:30,74.06,74.1,74.0,74.0,358639
2024-11-14 15:25:00+05:30,74.02,74.05,74.0,74.01,515489
2024-11-18 09:15:00+05:30,72.71,73.29,70.51,70.9,552370
2024-11-18 09:20:00+05:30,70.87,70.98,69.21,70.14,773605
2024-11-18 09:25:00+05:30,70.14,71.34,69.47,71.34,614694
2024-11-18 09:30:00+05:30,71.25,73.29,71.25,72.81,745103
2024-11-18 09:35:00+05:30,72.84,73.52,72.81,73.0,866860
2024-11-18 09:40:00+05:30,73.0,73.99,73.0,73.78,286800
2024-11-18 09:45:00+05:30,73.77,73.85,73.0,73.01,183276
2024-11-18 09:50:00+05:30,73.01,73.13,73.0,73.01,88307
2024-11-18 09:55:00+05:30,73.01,73.04,73.0,73.0,68455
2024-11-18 10:00:00+05:30,73.01,73.08,73.0,73.05,102477
2024-11-18 10:05:00+05:30,73.05,73.18,73.0,73.1,91716
2024-11-18 10:10:00+05:30,73.07,73.12,73.02,73.08,46556
2024-11-18 10:15:00+05:30,73.08,73.11,73.0,73.0,59826
2024-11-18 10:20:00+05:30,73.05,73.15,73.0,73.06,67468
2024-11-18 10:25:00+05:30,73.06,73.26,73.05,73.26,138087
2024-11-18 10:30:00+05:30,73.26,73.99,73.26,73.63,269901
2024-11-18 10:35:00+05:30,73.62,73.65,72.99,73.18,494087
2024-11-18 10:40:00+05:30,73.18,73.26,73.09,73.1,53885
2024-11-18 10:45:00+05:30,73.1,73.15,73.08,73.1,46411
2024-11-18 10:50:00+05:30,73.1,73.2,73.08,73.19,56974
2024-11-18 10:55:00+05:30,73.14,73.28,73.11,73.11,36096
2024-11-18 11:00:00+05:30,73.11,73.14,73.1,73.13,34966
2024-11-18 11:05:00+05:30,73.13,73.14,73.09,73.1,26440
2024-11-18 11:10:00+05:30,73.1,73.14,73.09,73.1,26780
2024-11-18 11:15:00+05:30,73.1,73.15,73.09,73.1,23962
2024-11-18 11:20:00+05:30,73.1,73.23,73.09,73.11,33313
2024-11-18 11:25:00+05:30,73.11,73.18,73.11,73.11,19962
2024-11-18 11:30:00+05:30,73.11,73.15,73.09,73.09,18656
2024-11-18 11:35:00+05:30,73.11,73.15,73.09,73.1,27495
2024-11-18 11:40:00+05:30,73.1,73.14,73.09,73.09,15788
2024-11-18 11:45:00+05:30,73.1,73.18,73.1,73.11,25470
2024-11-18 11:50:00+05:30,73.11,73.15,73.1,73.1,14237
2024-11-18 11:55:00+05:30,73.1,73.19,73.09,73.17,40619
2024-11-18 12:00:00+05:30,73.13,73.16,73.1,73.1,14955
2024-11-18 12:05:00+05:30,73.1,73.12,73.0,73.03,86534
2024-11-18 12:10:00+05:30,73.0,73.11,73.0,73.01,33298
2024-11-18 12:15:00+05:30,73.05,73.07,73.0,73.05,23189
2024-11-18 12:20:00+05:30,73.05,73.05,73.0,73.02,22003
2024-11-18 12:25:00+05:30,73.02,73.03,72.99,73.0,22940
2024-11-18 12:30:00+05:30,73.0,73.09,72.99,73.01,24090
2024-11-18 12:35:00+05:30,73.01,73.06,73.0,73.0,22445
2024-11-18 12:40:00+05:30,73.0,73.05,73.0,73.02,13121
2024-11-18 12:45:00+05:30,73.0,73.05,73.0,73.0,20646
2024-11-18 12:50:00+05:30,73.0,73.04,72.98,73.04,19495
2024-11-18 12:55:00+05:30,73.04,73.04,72.97,72.97,41560
2024-11-18 13:00:00+05:30,72.97,73.02,72.97,73.01,60932
2024-11-18 13:05:00+05:30,73.01,73.02,73.01,73.01,20443
2024-11-18 13:10:00+05:30,73.01,73.13,73.01,73.01,25151
2024-11-18 13:15:00+05:30,73.01,73.05,73.0,73.0,24018
2024-11-18 13:20:00+05:30,73.0,73.1,73.0,73.01,15989
2024-11-18 13:25:00+05:30,73.01,73.07,73.0,73.03,13927
2024-11-18 13:30:00+05:30,73.0,73.04,73.0,73.01,16587
2024-11-18 13:35:00+05:30,73.02,73.02,73.0,73.01,28913
2024-11-18 13:40:00+05:30,73.0,73.05,73.0,73.0,36060
2024-11-18 13:45:00+05:30,73.0,73.05,73.0,73.0,16406
2024-11-18 13:50:00+05:30,73.0,73.04,73.0,73.0,28591
2024-11-18 13:55:00+05:30,73.0,73.03,73.0,73.03,38328
2024-11-18 14:00:00+05:30,73.0,73.04,73.0,73.04,22916
2024-11-18 14:05:00+05:30,73.04,73.05,73.0,73.0,16719
2024-11-18 14:10:00+05:30,73.0,73.01,72.99,73.0,33373
2024-11-18 14:15:00+05:30,73.0,73.01,72.1,72.1,67244
2024-11-18 14:20:00+05:30,72.21,72.31,71.55,72.21,111037
2024-11-18 14:25:00+05:30,72.21,72.7,72.21,72.51,60612
2024-11-18 14:30:00+05:30,72.5,72.77,72.5,72.69,43814
2024-11-18 14:35:00+05:30,72.69,72.73,72.5,72.5,20959
2024-11-18 14:40:00+05:30,72.55,72.57,72.5,72.5,39765
2024-11-18 14:45:00+05:30,72.5,72.53,72.5,72.51,30102
2024-11-18 14:50:00+05:30,72.51,72.59,72.5,72.51,18192
2024-11-18 14:55:00+05:30,72.51,72.54,72.5,72.5,30208
2024-11-18 15:00:00+05:30,72.5,72.54,72.5,72.51,39503
2024-11-18 15:05:00+05:30,72.51,72.54,72.5,72.51,59312
2024-11-18 15:10:00+05:30,72.5,72.52,72.5,72.51,68670
2024-11-18 15:15:00+05:30,72.51,72.61,72.5,72.52,59715
2024-11-18 15:20:00+05:30,72.54,72.58,72.5,72.53,70240
2024-11-18 15:25:00+05:30,72.5,73.01,72.5,72.56,97657
2024-11-19 09:15:00+05:30,72.0,72.99,72.0,72.8,80703
2024-11-19 09:20:00+05:30,72.76,73.71,72.74,72.9,123542
2024-11-19 09:25:00+05:30,72.9,73.0,72.75,72.75,33544
2024-11-19 09:30:00+05:30,72.8,72.82,72.55,72.63,45553
2024-11-19 09:35:00+05:30,72.63,72.9,72.58,72.78,30727
2024-11-19 09:40:00+05:30,72.69,72.88,72.65,72.81,27034
2024-11-19 09:45:00+05:30,72.81,72.88,72.65,72.68,28243
2024-11-19 09:50:00+05:30,72.72,73.5,72.55,73.41,96366
2024-11-19 09:55:00+05:30,73.4,74.45,73.4,74.04,288098
2024-11-19 10:00:00+05:30,74.05,74.06,74.0,74.0,77658
2024-11-19 10:05:00+05:30,74.0,74.07,73.96,74.0,84442
2024-11-19 10:10:00+05:30,74.0,74.09,74.0,74.04,56684
