date,open,high,low,close,volume
2024-11-12 09:15:00+05:30,30.0,30.0,30.0,30.0,0
2024-11-12 09:40:00+05:30,31.06,31.06,31.06,31.06,30975065
2024-11-12 09:45:00+05:30,31.06,31.06,31.06,31.06,0
2024-11-12 09:50:00+05:30,31.06,31.06,31.06,31.06,0
2024-11-12 09:55:00+05:30,31.06,31.06,31.06,31.06,0
2024-11-12 10:00:00+05:30,31.07,31.94,30.5,31.91,56228237
2024-11-12 10:05:00+05:30,31.94,32.19,31.47,32.05,23348749
2024-11-12 10:10:00+05:30,32.09,32.62,31.55,32.38,17717474
2024-11-12 10:15:00+05:30,32.37,32.87,32.11,32.4,14920042
2024-11-12 10:20:00+05:30,32.39,32.47,31.67,31.86,7375471
2024-11-12 10:25:00+05:30,31.86,32.08,31.75,31.87,4437409
2024-11-12 10:30:00+05:30,31.86,31.89,31.6,31.7,3594519
2024-11-12 10:35:00+05:30,31.69,31.8,31.26,31.29,5492595
2024-11-12 10:40:00+05:30,31.28,31.68,31.06,31.58,4762795
2024-11-12 10:45:00+05:30,31.57,31.6,31.31,31.4,1860173
2024-11-12 10:50:00+05:30,31.4,31.74,31.32,31.7,1911143
2024-11-12 10:55:00+05:30,31.7,31.7,31.48,31.55,1300109
2024-11-12 11:00:00+05:30,31.55,31.7,31.45,31.7,1019056
2024-11-12 11:05:00+05:30,31.7,31.91,31.62,31.63,2063992
2024-11-12 11:10:00+05:30,31.63,31.65,31.36,31.46,1122494
2024-11-12 11:15:00+05:30,31.43,31.51,31.26,31.26,1285767
2024-11-12 11:20:00+05:30,31.28,31.46,31.2,31.34,922696
2024-11-12 11:25:00+05:30,31.34,31.44,31.3,31.3,574591
2024-11-12 11:30:00+05:30,31.31,31.59,31.26,31.38,1057732
2024-11-12 11:35:00+05:30,31.38,31.46,31.36,31.42,323850
2024-11-12 11:40:00+05:30,31.46,31.46,31.34,31.4,475212
2024-11-12 11:45:00+05:30,31.38,31.4,31.22,31.37,618783
2024-11-12 11:50:00+05:30,31.38,31.38,31.24,31.27,487682
2024-11-12 11:55:00+05:30,31.28,31.3,31.15,31.15,1134549
2024-11-12 12:00:00+05:30,31.15,31.3,31.15,31.26,794043
2024-11-12 12:05:00+05:30,31.27,31.28,31.15,31.16,766824
2024-11-12 12:10:00+05:30,31.16,31.19,30.31,30.41,6184690
2024-11-12 12:15:00+05:30,30.44,30.59,30.31,30.47,3198672
2024-11-12 12:20:00+05:30,30.47,30.7,30.46,30.5,1580980
2024-11-12 12:25:00+05:30,30.5,30.6,30.5,30.58,501424
2024-11-12 12:30:00+05:30,30.58,30.6,30.45,30.58,787056
2024-11-12 12:35:00+05:30,30.57,30.59,30.45,30.47,785488
2024-11-12 12:40:00+05:30,30.47,30.55,30.39,30.46,893508
2024-11-12 12:45:00+05:30,30.46,30.49,30.3,30.35,1067326
2024-11-12 12:50:00+05:30,30.36,30.46,30.26,30.42,1073276
2024-11-12 12:55:00+05:30,30.42,30.42,30.32,30.39,758978
2024-11-12 13:00:00+05:30,30.35,30.63,30.34,30.52,756962
2024-11-12 13:05:00+05:30,30.53,30.67,30.52,30.67,548736
2024-11-12 13:10:00+05:30,30.67,30.67,30.4,30.45,1409413
