date,open,high,low,close,volume
2021-11-18 09:40:00+05:30,270.0,270.0,270.0,270.0,0
2021-11-18 09:45:00+05:30,270.0,270.0,270.0,270.0,0
2021-11-18 09:50:00+05:30,270.0,270.0,270.0,270.0,0
2021-11-18 09:55:00+05:30,270.0,270.0,270.0,270.0,0
2021-11-18 10:00:00+05:30,268.45,275.95,263.0,267.65,5774950
2021-11-18 10:05:00+05:30,268.0,269.8,266.75,269.4,1297605
2021-11-18 10:10:00+05:30,269.4,270.0,261.0,262.7,1800915
2021-11-18 10:15:00+05:30,262.65,262.9,248.7,255.25,2897430
2021-11-18 10:20:00+05:30,255.45,255.95,237.8,237.8,2183345
2021-11-18 10:25:00+05:30,237.9,248.0,237.0,245.05,1577945
2021-11-18 10:30:00+05:30,245.1,247.0,239.0,246.9,1052735
2021-11-18 10:35:00+05:30,246.85,247.0,240.8,242.8,395005
2021-11-18 10:40:00+05:30,242.65,245.2,237.0,238.6,890905
2021-11-18 10:45:00+05:30,238.45,240.4,232.35,234.8,1481470
2021-11-18 10:50:00+05:30,234.8,242.9,234.6,242.0,1054145
2021-11-18 10:55:00+05:30,242.7,245.0,242.0,242.5,591215
2021-11-18 11:00:00+05:30,242.65,248.35,241.25,248.0,548740
2021-11-18 11:05:00+05:30,248.0,249.8,246.05,248.45,703905
2021-11-18 11:10:00+05:30,248.45,249.95,246.7,248.7,528390
2021-11-18 11:15:00+05:30,248.7,249.55,246.2,247.75,342750
2021-11-18 11:20:00+05:30,247.65,251.0,246.85,249.55,555605
2021-11-18 11:25:00+05:30,249.55,252.8,248.55,251.5,805345
2021-11-18 11:30:00+05:30,251.5,251.8,249.25,251.0,274765
2021-11-18 11:35:00+05:30,251.0,251.0,245.15,245.15,364895
2021-11-18 11:40:00+05:30,245.2,247.0,245.05,245.9,187770
2021-11-18 11:45:00+05:30,245.9,248.0,245.4,247.6,110260
2021-11-18 11:50:00+05:30,247.6,249.55,247.3,249.45,247630
2021-11-18 11:55:00+05:30,249.55,249.55,247.25,249.35,122090
2021-11-18 12:00:00+05:30,249.35,249.55,248.6,249.1,95650
2021-11-18 12:05:00+05:30,249.0,249.95,248.6,249.2,102065
2021-11-18 12:10:00+05:30,249.1,249.2,247.2,248.7,114185
2021-11-18 12:15:00+05:30,248.7,249.2,248.25,249.15,75510
2021-11-18 12:20:00+05:30,249.15,249.2,248.0,248.0,84615
2021-11-18 12:25:00+05:30,248.1,250.0,247.2,249.8,255785
2021-11-18 12:30:00+05:30,249.6,252.8,249.6,251.4,588820
2021-11-18 12:35:00+05:30,251.4,251.95,250.4,250.75,108065
2021-11-18 12:40:00+05:30,250.6,251.25,249.4,250.4,196150
2021-11-18 12:45:00+05:30,250.3,251.0,249.0,249.55,112830
2021-11-18 12:50:00+05:30,249.4,250.4,249.4,249.85,103325
2021-11-18 12:55:00+05:30,249.85,249.95,245.95,248.05,246320
2021-11-18 13:00:00+05:30,248.05,250.0,248.05,249.8,116390
2021-11-18 13:05:00+05:30,249.7,249.95,249.0,249.35,74340
2021-11-18 13:10:00+05:30,249.35,249.95,248.45,249.1,74670
2021-11-18 13:15:00+05:30,249.1,249.95,248.95,249.65,87025
2021-11-18 13:20:00+05:30,249.8,249.95,249.6,249.9,100145
2021-11-18 13:25:00+05:30,249.9,249.95,248.4,249.4,97305
2021-11-18 13:30:00+05:30,249.1,249.95,249.0,249.85,136295
2021-11-18 13:35:00+05:30,249.8,249.95,249.6,249.9,84735
2021-11-18 13:40:00+05:30,249.9,250.0,247.9,249.8,240370
2021-11-18 13:45:00+05:30,249.85,250.95,249.75,250.4,116630
2021-11-18 13:50:00+05:30,250.35,250.85,249.25,250.05,95790
2021-11-18 13:55:00+05:30,250.05,250.35,249.25,249.45,57355
2021-11-18 14:00:00+05:30,249.6,249.6,246.0,247.45,231690
2021-11-18 14:05:00+05:30,247.45,249.0,247.2,248.2,184145
2021-11-18 14:10:00+05:30,248.2,249.75,245.9,248.1,189080
2021-11-18 14:15:00+05:30,248.15,249.55,247.2,248.75,135505
2021-11-18 14:20:00+05:30,248.75,249.0,248.0,248.5,169450
2021-11-18 14:25:00+05:30,249.1,249.4,247.2,247.7,163255
2021-11-18 14:30:00+05:30,247.4,249.95,247.25,247.9,333190
2021-11-18 14:35:00+05:30,247.9,248.0,238.15,238.85,735380
