date,open,high,low,close,volume
2021-09-14 09:15:00+05:30,532.0,532.0,532.0,532.0,0
2021-09-14 09:40:00+05:30,540.0,540.0,540.0,540.0,0
2021-09-14 09:45:00+05:30,540.0,540.0,540.0,540.0,0
2021-09-14 09:50:00+05:30,540.0,540.0,540.0,540.0,0
2021-09-14 09:55:00+05:30,540.0,540.0,540.0,540.0,0
2021-09-14 10:00:00+05:30,539.1,583.7,539.1,575.7,3300620
2021-09-14 10:05:00+05:30,576.15,587.2,575.2,577.6,1693369
2021-09-14 10:10:00+05:30,577.55,584.4,570.1,577.0,2252003
2021-09-14 10:15:00+05:30,577.1,579.9,575.1,577.25,350469
2021-09-14 10:20:00+05:30,577.0,577.0,575.8,576.05,263595
2021-09-14 10:25:00+05:30,576.1,577.55,576.0,576.3,218495
2021-09-14 10:30:00+05:30,576.3,577.75,576.3,577.6,155178
2021-09-14 10:35:00+05:30,577.6,578.75,577.2,577.4,119790
2021-09-14 10:40:00+05:30,577.4,579.9,577.1,578.5,747899
2021-09-14 10:45:00+05:30,578.5,579.8,577.6,578.25,174725
2021-09-14 10:50:00+05:30,578.25,580.3,575.0,576.65,383397
2021-09-14 10:55:00+05:30,576.65,577.9,575.8,576.2,205523
2021-09-14 11:00:00+05:30,576.3,577.25,575.75,577.05,61866
2021-09-14 11:05:00+05:30,577.05,580.25,577.0,579.25,373393
2021-09-14 11:10:00+05:30,579.05,580.0,578.1,579.85,110804
2021-09-14 11:15:00+05:30,579.9,584.1,579.3,584.0,261515
2021-09-14 11:20:00+05:30,584.5,588.9,580.0,586.9,377963
2021-09-14 11:25:00+05:30,588.0,589.4,581.5,581.5,311417
2021-09-14 11:30:00+05:30,581.0,585.05,578.0,580.0,419845
2021-09-14 11:35:00+05:30,580.0,581.7,579.95,581.7,326119
2021-09-14 11:40:00+05:30,581.7,585.95,581.25,582.8,84406
2021-09-14 11:45:00+05:30,582.8,584.75,582.35,582.85,39223
2021-09-14 11:50:00+05:30,582.85,586.0,582.65,585.7,49569
2021-09-14 11:55:00+05:30,585.7,592.3,584.7,589.0,309933
2021-09-14 12:00:00+05:30,589.0,597.45,588.85,595.0,407690
2021-09-14 12:05:00+05:30,594.85,607.5,594.5,604.2,590760
2021-09-14 12:10:00+05:30,604.3,630.35,601.35,623.8,752063
2021-09-14 12:15:00+05:30,624.55,635.45,622.05,628.4,514488
2021-09-14 12:20:00+05:30,628.15,629.0,616.35,618.7,259577
2021-09-14 12:25:00+05:30,619.0,619.95,610.0,612.95,179767
2021-09-14 12:30:00+05:30,613.0,614.05,607.9,610.4,160169
2021-09-14 12:35:00+05:30,610.0,620.0,610.0,618.1,158970
2021-09-14 12:40:00+05:30,618.1,618.4,612.0,612.35,52821
2021-09-14 12:45:00+05:30,612.25,613.55,608.4,611.6,91703
2021-09-14 12:50:00+05:30,611.6,616.95,611.05,613.05,46126
2021-09-14 12:55:00+05:30,613.05,624.0,613.0,622.75,137941
2021-09-14 13:00:00+05:30,622.75,623.0,613.4,613.65,80814
2021-09-14 13:05:00+05:30,613.4,613.95,608.0,610.7,152109
2021-09-14 13:10:00+05:30,610.7,614.3,610.0,614.05,38183
2021-09-14 13:15:00+05:30,614.25,614.6,612.6,614.35,26940
2021-09-14 13:20:00+05:30,614.5,628.15,614.5,620.6,163715
2021-09-14 13:25:00+05:30,620.9,622.45,616.7,617.55,38008
2021-09-14 13:30:00+05:30,617.55,618.95,617.3,617.5,21908
2021-09-14 13:35:00+05:30,617.5,628.25,617.0,627.4,93878
2021-09-14 13:40:00+05:30,627.7,641.75,626.45,640.2,818018
2021-09-14 13:45:00+05:30,640.4,648.0,626.55,628.0,629021
2021-09-14 13:50:00+05:30,628.0,630.45,627.1,629.1,84373
2021-09-14 13:55:00+05:30,629.1,632.9,628.7,630.0,166344
2021-09-14 14:00:00+05:30,630.1,632.9,630.0,630.0,49582
2021-09-14 14:05:00+05:30,630.05,630.05,617.5,618.8,202069
2021-09-14 14:10:00+05:30,618.8,625.0,618.75,625.0,55629
2021-09-14 14:15:00+05:30,624.8,626.7,622.25,624.5,59398
2021-09-14 14:20:00+05:30,624.5,624.95,616.75,617.7,67775
2021-09-14 14:25:00+05:30,617.85,618.0,610.0,613.35,224839
2021-09-14 14:30:00+05:30,614.65,628.75,611.85,628.75,163211
2021-09-14 14:35:00+05:30,628.75,634.7,628.1,629.0,170850
2021-09-14 14:40:00+05:30,629.1,632.5,628.85,628.85,60898
2021-09-14 14:45:00+05:30,628.9,635.6,628.85,630.4,89035
2021-09-14 14:50:00+05:30,630.1,634.0,628.3,632.15,60597
2021-09-14 14:55:00+05:30,632.15,632.2,627.6,627.6,43494
2021-09-14 15:00:00+05:30,627.1,628.05,621.0,622.35,72799
2021-09-14 15:05:00+05:30,623.65,624.9,616.0,623.85,83925
2021-09-14 15:10:00+05:30,624.0,626.0,618.0,618.0,51206
2021-09-14 15:15:00+05:30,618.0,620.0,615.0,619.1,75369
2021-09-14 15:20:00+05:30,619.05,620.75,617.0,619.3,85183
2021-09-14 15:25:00+05:30,619.3,619.5,615.65,617.0,97364
2021-09-15 09:15:00+05:30,618.5,618.5,595.0,597.05,174661
2021-09-15 09:20:00+05:30,597.1,603.0,591.2,602.05,159007
2021-09-15 09:25:00+05:30,601.0,610.55,601.0,608.05,140256
2021-09-15 09:30:00+05:30,608.1,609.45,601.5,603.85,63238
2021-09-15 09:35:00+05:30,603.05,605.0,597.0,604.5,95218
2021-09-15 09:40:00+05:30,605.0,631.2,603.6,626.45,284461
2021-09-15 09:45:00+05:30,624.35,626.0,612.5,613.25,152796
2021-09-15 09:50:00+05:30,613.95,616.0,612.0,612.0,32307
2021-09-15 09:55:00+05:30,612.05,619.8,612.05,619.7,38126
2021-09-15 10:00:00+05:30,619.65,625.0,615.4,617.9,81270
2021-09-15 10:05:00+05:30,617.1,624.0,617.0,620.0,54808
2021-09-15 10:10:00+05:30,620.0,621.0,618.2,620.5,31661
2021-09-15 10:15:00+05:30,620.8,624.8,620.5,622.5,56051
2021-09-15 10:20:00+05:30,622.5,624.0,620.1,620.1,56030
2021-09-15 10:25:00+05:30,620.1,620.9,617.15,618.75,41298
2021-09-15 10:30:00+05:30,618.75,619.5,618.3,618.85,13608
2021-09-15 10:35:00+05:30,618.8,619.3,618.35,618.5,16673
2021-09-15 10:40:00+05:30,618.5,618.65,615.3,617.05,26758
2021-09-15 10:45:00+05:30,617.05,621.0,617.0,620.05,43017
2021-09-15 10:50:00+05:30,620.05,621.0,619.5,620.05,27136
2021-09-15 10:55:00+05:30,620.0,625.9,619.05,621.55,79597
2021-09-15 11:00:00+05:30,620.7,623.85,620.0,621.25,45849
2021-09-15 11:05:00+05:30,621.5,623.4,620.0,620.5,60909
2021-09-15 11:10:00+05:30,620.5,627.85,620.0,622.55,80156
2021-09-15 11:15:00+05:30,622.35,630.0,622.2,628.5,152372
2021-09-15 11:20:00+05:30,628.45,628.45,622.7,623.5,75606
2021-09-15 11:25:00+05:30,623.5,634.9,623.0,633.1,181640
2021-09-15 11:30:00+05:30,633.55,651.5,630.4,651.5,543630
2021-09-15 11:35:00+05:30,651.05,654.8,645.4,653.0,515045
2021-09-15 11:40:00+05:30,653.05,654.65,644.25,647.6,361413
2021-09-15 11:45:00+05:30,647.15,649.0,646.0,646.5,84861
2021-09-15 11:50:00+05:30,646.5,647.85,645.95,646.7,67577
2021-09-15 11:55:00+05:30,647.0,657.1,646.5,651.9,515604
2021-09-15 12:00:00+05:30,651.9,652.5,646.0,646.7,82160
2021-09-15 12:05:00+05:30,646.7,649.0,645.0,646.3,51114
2021-09-15 12:10:00+05:30,646.25,647.5,646.0,646.1,26596
2021-09-15 12:15:00+05:30,646.0,649.7,646.0,648.25,31816
2021-09-15 12:20:00+05:30,648.25,649.45,647.1,649.0,14712
2021-09-15 12:25:00+05:30,649.2,649.35,647.25,647.55,22417
2021-09-15 12:30:00+05:30,647.55,648.3,647.25,647.45,13308
2021-09-15 12:35:00+05:30,647.5,649.0,647.4,648.9,19198
2021-09-15 12:40:00+05:30,648.9,649.0,647.5,648.4,27725
2021-09-15 12:45:00+05:30,648.55,649.0,648.0,648.9,23541
2021-09-15 12:50:00+05:30,648.95,649.7,648.25,649.7,47980
2021-09-15 12:55:00+05:30,649.65,654.8,649.15,654.7,95774
2021-09-15 13:00:00+05:30,654.7,654.7,648.65,650.4,52467
2021-09-15 13:05:00+05:30,651.0,651.0,647.7,650.0,36371
2021-09-15 13:10:00+05:30,650.0,653.0,648.0,648.85,38464
2021-09-15 13:15:00+05:30,648.85,650.0,648.2,650.0,23843
2021-09-15 13:20:00+05:30,650.0,651.5,649.5,650.7,24964
2021-09-15 13:25:00+05:30,650.65,651.0,650.0,650.0,14142
2021-09-15 13:30:00+05:30,650.0,650.45,650.0,650.0,14972
2021-09-15 13:35:00+05:30,650.0,650.35,648.1,649.35,28730
2021-09-15 13:40:00+05:30,649.35,650.0,649.0,649.55,29561
2021-09-15 13:45:00+05:30,649.6,650.35,649.3,649.7,28729
2021-09-15 13:50:00+05:30,649.5,649.55,647.0,647.0,57663
2021-09-15 13:55:00+05:30,647.05,647.9,645.8,647.5,94536
2021-09-15 14:00:00+05:30,647.5,650.45,647.25,650.05,181768
2021-09-15 14:05:00+05:30,650.05,651.0,649.0,650.25,48985
2021-09-15 14:10:00+05:30,650.3,650.6,631.45,638.7,176322
2021-09-15 14:15:00+05:30,639.3,646.0,639.0,640.3,95799
2021-09-15 14:20:00+05:30,640.15,643.05,639.0,643.0,54061
2021-09-15 14:25:00+05:30,643.05,654.0,643.0,651.35,305691
2021-09-15 14:30:00+05:30,651.4,652.0,648.95,650.0,93745
2021-09-15 14:35:00+05:30,650.0,650.05,641.1,643.0,64742
2021-09-15 14:40:00+05:30,642.7,642.7,627.2,632.05,146823
2021-09-15 14:45:00+05:30,632.8,638.7,632.0,635.8,93252
2021-09-15 14:50:00+05:30,636.0,642.7,635.05,640.55,99351
2021-09-15 14:55:00+05:30,640.6,645.0,638.7,644.95,57724
2021-09-15 15:00:00+05:30,644.95,647.7,640.0,640.85,95685
2021-09-15 15:05:00+05:30,640.85,644.0,640.0,641.35,56572
2021-09-15 15:10:00+05:30,641.65,642.7,636.2,640.0,114042
2021-09-15 15:15:00+05:30,640.45,641.0,635.55,637.0,99399
2021-09-15 15:20:00+05:30,637.0,641.8,637.0,640.0,93898
2021-09-15 15:25:00+05:30,640.0,642.0,639.5,640.0,82735
2021-09-16 09:15:00+05:30,643.95,651.6,641.3,648.8,92530
2021-09-16 09:20:00+05:30,648.3,671.05,645.0,667.3,251116
2021-09-16 09:25:00+05:30,667.3,668.8,658.0,661.05,111109
2021-09-16 09:30:00+05:30,661.5,662.8,658.2,661.0,41481
2021-09-16 09:35:00+05:30,661.0,662.85,658.1,661.75,40708
2021-09-16 09:40:00+05:30,661.75,662.65,660.5,660.65,36047
2021-09-16 09:45:00+05:30,660.65,661.65,658.05,659.25,34915
2021-09-16 09:50:00+05:30,659.2,660.0,656.1,659.7,42050
2021-09-16 09:55:00+05:30,659.85,659.85,656.0,656.0,33002
2021-09-16 10:00:00+05:30,656.0,656.95,650.5,655.0,56886
2021-09-16 10:05:00+05:30,655.0,655.0,652.45,653.8,20761
2021-09-16 10:10:00+05:30,653.95,654.4,653.0,653.9,16490
2021-09-16 10:15:00+05:30,653.9,657.0,653.3,656.3,16953
2021-09-16 10:20:00+05:30,655.65,656.6,655.0,655.85,11292
2021-09-16 10:25:00+05:30,656.4,656.4,653.0,653.6,10244
2021-09-16 10:30:00+05:30,653.6,655.0,653.45,654.5,8585
2021-09-16 10:35:00+05:30,654.0,654.5,653.5,654.5,7245
2021-09-16 10:40:00+05:30,654.0,654.5,653.5,653.55,7336
2021-09-16 10:45:00+05:30,653.85,653.9,652.05,652.1,11637
2021-09-16 10:50:00+05:30,652.1,652.45,646.75,648.75,48839
2021-09-16 10:55:00+05:30,648.25,650.0,648.25,649.05,13627
2021-09-16 11:00:00+05:30,649.05,650.0,648.9,649.4,6920
2021-09-16 11:05:00+05:30,649.2,649.6,644.0,645.25,41452
2021-09-16 11:10:00+05:30,645.85,648.0,643.0,646.9,24156
2021-09-16 11:15:00+05:30,646.5,647.4,643.55,646.0,17067
2021-09-16 11:20:00+05:30,646.0,646.5,642.5,642.5,14088
2021-09-16 11:25:00+05:30,642.5,644.0,641.0,643.5,30396
2021-09-16 11:30:00+05:30,643.5,644.5,642.15,642.25,6918
2021-09-16 11:35:00+05:30,642.25,642.75,640.55,640.55,15739
