2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ACC,ACC,ACC,ADANIPORTS,ADANIPORTS,ADANIPORTS,ADANIPORTS,ADANIPORTS,ADANIENT,ADANIENT,ADANIENT
AMBUJACEM,ADANIPORTS,ADANIPORTS,AMBUJACEM,ASIANPAINT,ASIANPAINT,ASIANPAINT,ASIANPAINT,ADANIPORTS,ADANIPORTS,ADANIPORTS
ASIANPAINT,AMBUJACEM,AMBUJACEM,ASIANPAINT,AXISBANK,AXISBANK,AXISBANK,AXISBANK,APOLLOHOSP,APOLLOHOSP,APOLLOHOSP
AXISBANK,ASIANPAINT,ASIANPAINT,AUROPHARMA,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO,ASIANPAINT,ASIANPAINT,ASIANPAINT
BAJAJ-AUTO,AXISBANK,AUROPHARMA,AXISBANK,BAJFINANCE,BAJFINANCE,BAJFINANCE,BAJFINANCE,AXISBANK,AXISBANK,AXISBANK
BANKBARODA,BAJAJ-AUTO,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJFINSV,BAJAJFINSV,BAJAJFINSV,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO
BHARTIARTL,BANKBARODA,BAJAJ-AUTO,BAJFINANCE,BPCL,BPCL,BPCL,BPCL,BAJFINANCE,BAJFINANCE,BAJFINANCE
BHEL,BHEL,BANKBARODA,BPCL,BHARTIARTL,BHARTIARTL,BHARTIARTL,BHARTIARTL,BAJAJFINSV,BAJAJFINSV,BAJAJFINSV
BPCL,BPCL,BHEL,BHARTIARTL,INFRATEL,INFRATEL,BRITANNIA,BRITANNIA,BPCL,BPCL,BEL
CAIRN,BHARTIARTL,BPCL,INFRATEL,CIPLA,BRITANNIA,CIPLA,CIPLA,BHARTIARTL,BHARTIARTL,BPCL
CIPLA,BOSCHLTD,BHARTIARTL,BOSCHLTD,COALINDIA,CIPLA,COALINDIA,COALINDIA,BRITANNIA,BRITANNIA,BHARTIARTL
COALINDIA,CAIRN,INFRATEL,CIPLA,DRREDDY,COALINDIA,DIVISLAB,DIVISLAB,CIPLA,CIPLA,BRITANNIA
DLF,CIPLA,BOSCHLTD,COALINDIA,EICHERMOT,DRREDDY,DRREDDY,DRREDDY,COALINDIA,COALINDIA,CIPLA
DRREDDY,COALINDIA,CIPLA,DRREDDY,GAIL,EICHERMOT,EICHERMOT,EICHERMOT,DIVISLAB,DIVISLAB,COALINDIA
GAIL,DRREDDY,COALINDIA,EICHERMOT,GRASIM,GAIL,GAIL,GRASIM,DRREDDY,DRREDDY,DRREDDY
GRASIM,GAIL,DRREDDY,GAIL,HCLTECH,GRASIM,GRASIM,HCLTECH,EICHERMOT,EICHERMOT,EICHERMOT
HCLTECH,GRASIM,EICHERMOT,HCLTECH,HDFCBANK,HCLTECH,HCLTECH,HDFCBANK,GRASIM,GRASIM,GRASIM
HDFC,HCLTECH,GAIL,HDFCBANK,HEROMOTOCO,HDFCBANK,HDFCBANK,HDFCLIFE,HCLTECH,HCLTECH,HCLTECH
HDFCBANK,HDFCBANK,GRASIM,HEROMOTOCO,HINDALCO,HEROMOTOCO,HDFCLIFE,HEROMOTOCO,HDFCBANK,HDFCBANK,HDFCBANK
HEROMOTOCO,HEROMOTOCO,HCLTECH,HINDALCO,HINDPETRO,HINDALCO,HEROMOTOCO,HINDALCO,HDFCLIFE,HDFCLIFE,HDFCLIFE
HINDALCO,HINDALCO,HDFCBANK,HINDPETRO,HINDUNILVR,HINDUNILVR,HINDALCO,HINDUNILVR,HEROMOTOCO,HEROMOTOCO,HEROMOTOCO
HINDUNILVR,HINDUNILVR,HEROMOTOCO,HINDUNILVR,HDFC,HDFC,HINDUNILVR,HDFC,HINDALCO,HINDALCO,HINDALCO
ICICIBANK,HDFC,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ICICIBANK,HINDUNILVR,HINDUNILVR,HINDUNILVR
IDFC,ITC,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,ITC,HDFC,ICICIBANK,ICICIBANK
INDUSINDBK,ICICIBANK,HDFC,ICICIBANK,IBULHSGFIN,IOC,ITC,IOC,ICICIBANK,ITC,ITC
INFY,IDEA,ITC,IBULHSGFIN,IOC,INDUSINDBK,IOC,INDUSINDBK,ITC,INDUSINDBK,INDUSINDBK
ITC,INDUSINDBK,ICICIBANK,IOC,INDUSINDBK,INFY,INDUSINDBK,INFY,INDUSINDBK,INFY,INFY
JINDALSTEL,INFY,IDEA,INDUSINDBK,INFY,JSWSTEEL,INFY,JSWSTEEL,INFY,JSWSTEEL,JSWSTEEL
KOTAKBANK,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,KOTAKBANK,JSWSTEEL,KOTAKBANK,KOTAKBANK
LT,LT,INFY,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,LT,KOTAKBANK,LTIM,LT
LUPIN,LUPIN,KOTAKBANK,LT,LT,M&M,LT,M&M,LT,LT,M&M
M&M,M&M,LT,LUPIN,M&M,MARUTI,M&M,MARUTI,M&M,M&M,MARUTI
MARUTI,MARUTI,LUPIN,M&M,MARUTI,NTPC,MARUTI,NTPC,MARUTI,MARUTI,NTPC
NMDC,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NTPC,NESTLEIND,NTPC,NTPC,NESTLEIND
NTPC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,ONGC,NESTLEIND,NESTLEIND,ONGC
ONGC,POWERGRID,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,POWERGRID,ONGC,ONGC,POWERGRID
PNB,PNB,ONGC,POWERGRID,RELIANCE,RELIANCE,POWERGRID,RELIANCE,POWERGRID,POWERGRID,RELIANCE
POWERGRID,RELIANCE,POWERGRID,RELIANCE,SBIN,SBIN,RELIANCE,SBILIFE,RELIANCE,RELIANCE,SBILIFE
RELIANCE,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SHREECEM,SBILIFE,SBILIFE,SHRIRAMFIN
SBIN,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SHREECEM,SBIN,SBIN,SBIN,SBIN
SSLT,TCS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SBIN,SUNPHARMA,SUNPHARMA,SUNPHARMA,SUNPHARMA
SUNPHARMA,TATAMOTORS,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,TCS,TCS,TCS,TCS
TATAMOTORS,TATAPOWER,TATAMTRDVR,TATASTEEL,TECHM,TECHM,TCS,TATACONSUM,TATACONSUM,TATACONSUM,TATACONSUM
TATAPOWER,TATASTEEL,TATAMOTORS,TECHM,TITAN,TITAN,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATAMOTORS
TATASTEEL,TECHM,TATAPOWER,UPL,UPL,UPL,TATASTEEL,TATASTEEL,TATASTEEL,TATASTEEL,TATASTEEL
TCS,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TECHM,TECHM,TECHM,TECHM
TECHM,VEDL,TECHM,VEDL,VEDL,VEDL,TITAN,TITAN,TITAN,TITAN,TITAN
ULTRACEMCO,WIPRO,ULTRACEMCO,WIPRO,WIPRO,WIPRO,UPL,UPL,UPL,UPL,TRENT
WIPRO,YESBANK,WIPRO,YESBANK,YESBANK,YESBANK,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO
ZEEL,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO
,,ZEEL,,,,,,,,ITCHOTELS
